,user_id,birthdate,age_in_years,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,days_as_customer,total_sessions,avg_clicks_per_session,proportion_planning_sessions,avg_session_duration_seconds,avg_sessions_per_month,days_since_last_session,days_since_last_booking,avg_booking_lead_time_days,avg_cancellation_lead_time_days,total_trips,trips_with_flight_and_hotel,proportion_trips_with_flight_and_hotel,total_trips_cancelled,trip_cancellation_rate,total_flights,flights_with_return,proportion_flights_with_return,avg_flight_price,stddev_flight_price,avg_flight_discount_pct,avg_flight_discount_savings,total_flight_discount_savings,total_flight_spend,flights_with_discount,proportion_flights_with_discount,avg_seats_booked,stddev_seats,avg_bags_checked,stddev_checked_bags,top_airline,airline_variety,airline_concentration,top_flight_route,flight_route_variety,flight_route_concentration,avg_distance_flown,stddev_distance_flown_km,proportion_longhaul_flights,total_hotels_booked,avg_hotel_price_per_room,stddev_hotel_per_room_usd,hotels_with_discount,proportion_hotels_with_discount,avg_hotel_discount_pct,avg_hotel_discount_savings,total_hotel_discount_savings,total_hotel_spend,avg_trip_length_nights,stddev_stay_in_nights,avg_rooms_booked,stddev_rooms,top_hotel_chain,hotel_chain_variety,hotel_chain_concentration,never_booked_trips,never_cancelled_trips,never_booked_flights,booked_only_one_flight,never_booked_flights_with_discounts,never_booked_hotels,booked_only_one_hotel,never_booked_hotels_with_discounts,total_spend,total_savings
0,23557,1958-12-08,64.0,F,True,False,usa,new york,LGA,40.777,-73.872,2021-07-22,736,8,10.25,0.25,76.625,1.1428571428571428,13.0,13.0,13.0,0.0,2,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,MISSING,0,0.0,0.0,0.0,0.0,2,177.0,121.62236636408618,1,0.5,0.25,65.75,65.75,288.25,10.0,11.313708498984761,1.5,0.7071067811865476,Extended Stay,2,0.5,False,True,True,False,True,False,False,False,288.25,65.75
1,94883,1972-03-16,51.0,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-02-07,536,8,9.125,0.25,67.75,1.6,60.0,108.0,7.5,0.0,2,2,1.0,0,0.0,2,2,1.0,432.045,270.291567108558,0.0,0.0,0.0,864.09,0,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,Delta Air Lines,2,0.5,MCI-LRF,2,0.5,1453.6661275572988,117.05534856123447,0.0,2,90.0,56.568542494923804,0,0.0,0.0,0.0,0.0,180.0,1.0,0.0,1.5,0.7071067811865476,Four Seasons,2,0.5,False,True,False,False,True,False,False,True,1044.09,0.0
2,101486,1972-12-07,50.0,F,True,True,usa,tacoma,TCM,47.138,-122.476,2022-02-17,526,8,16.375,0.25,122.25,1.1428571428571428,9.0,40.0,8.0,0.0,2,1,0.5,0,0.0,1,1,1.0,189.91,0.0,0.0,0.0,0.0,189.91,0,0.0,1.0,0.0,0.0,0.0,United Airlines,1,1.0,TCM-YED,1,1.0,965.3405679141879,0.0,0.0,2,198.5,77.07463914933368,0,0.0,0.0,0.0,0.0,397.0,4.5,0.7071067811865476,1.5,0.7071067811865476,Banyan Tree,2,0.5,False,True,False,True,True,False,False,True,586.91,0.0
3,101961,1980-09-14,42.0,F,True,False,usa,boston,BOS,42.364,-71.005,2022-02-17,526,8,15.75,0.625,117.75,1.3333333333333333,35.0,35.0,6.6,0.0,5,5,1.0,0,0.0,5,5,1.0,248.532,298.104528261481,0.1,4.967,4.967,1237.693,1,0.2,1.0,0.0,0.4,0.5477225575051661,Air New Zealand,5,0.2,BOS-BFI,5,0.2,1321.6841826795608,1537.1665054002235,0.0,5,136.0,47.84871994108097,0,0.0,0.0,0.0,0.0,680.0,4.4,2.5099800796022267,1.0,0.0,Accor,5,0.2,False,True,False,False,False,False,False,True,1917.693,4.967
4,106907,1978-11-17,44.0,F,True,True,usa,miami,TNT,25.862,-80.897,2022-02-24,519,8,30.0,0.25,758.915066125,1.1428571428571428,0.0,51.0,224.0,173.0,1,1,1.0,1,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6.0,0.0,5.0,0.0,Air Mauritius,1,1.0,TNT-DUR,1,1.0,0.0,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,Shangri-La,1,1.0,False,False,True,True,True,True,True,True,0.0,0.0
5,118043,1972-05-04,51.0,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-03-10,505,8,20.5,0.625,153.125,1.3333333333333333,12.0,12.0,8.6,0.0,5,2,0.4,0,0.0,3,3,1.0,779.7633333333333,372.595257931892,0.0,0.0,0.0,2339.29,0,0.0,2.0,1.0,1.0,0.0,American Airlines,3,0.3333333333333333,LAX-BIF,3,0.3333333333333333,2455.0245088864162,1425.717263051663,0.0,4,227.25,147.101722174374,2,0.5,0.15,16.8,33.6,875.4,6.0,3.162277660168379,1.25,0.5,Fairmont,2,0.75,False,True,False,False,True,False,False,False,3214.69,33.6
6,120851,1972-09-25,50.0,F,True,True,usa,santa ana,SNA,33.676,-117.868,2022-03-13,502,8,6.875,0.125,51.75,1.3333333333333333,45.0,111.0,8.0,0.0,1,1,1.0,0,0.0,1,1,1.0,384.68,0.0,0.0,0.0,0.0,384.68,0,0.0,1.0,0.0,0.0,0.0,Delta Air Lines,1,1.0,SNA-YXD,1,1.0,2249.8338724512255,0.0,0.0,1,182.0,0.0,0,0.0,0.0,0.0,0.0,182.0,11.0,0.0,1.0,0.0,Best Western,1,1.0,False,True,False,True,True,False,True,True,566.68,0.0
7,125845,1983-12-01,39.0,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-03-19,496,9,17.666666666666668,0.3333333333333333,131.77777777777777,1.2857142857142858,7.0,52.0,9.333333333333334,0.0,3,3,1.0,0,0.0,3,3,1.0,584.44,111.277794730126,0.15,106.557,106.557,1646.763,1,0.3333333333333333,1.3333333333333333,0.5773502691896257,0.6666666666666666,0.5773502691896257,AirTran Airways,3,0.3333333333333333,BIF-IND,3,0.3333333333333333,2700.781458471575,601.9802290224779,0.0,3,123.66666666666667,68.0171546988944,0,0.0,0.0,0.0,0.0,371.0,2.3333333333333335,1.5275252316519468,1.3333333333333333,0.5773502691896257,Four Seasons,2,0.6666666666666666,False,True,False,False,False,False,False,True,2017.763,106.557
8,133058,2005-04-07,18.0,F,False,False,usa,austin,AUS,30.194,-97.67,2022-03-27,488,8,9.125,0.125,68.125,1.1428571428571428,11.0,122.0,6.0,0.0,1,0,0.0,0,0.0,1,1,1.0,423.51,0.0,0.0,0.0,0.0,423.51,0,0.0,1.0,0.0,0.0,0.0,United Airlines,1,1.0,AUS-YHU,1,1.0,2708.294381612006,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,False,True,False,True,True,True,False,True,423.51,0.0
9,149058,1973-01-22,50.0,F,False,True,usa,birmingham,BHM,33.563,-86.753,2022-04-14,470,8,17.75,0.625,131.75,1.3333333333333333,38.0,102.0,6.6,0.0,5,5,1.0,0,0.0,5,5,1.0,385.732,177.882292738766,0.05,9.5275,9.5275,1919.1325,1,0.2,1.2,0.4472135954999579,0.4,0.5477225575051661,Alaska Airlines,5,0.2,BHM-AUS,5,0.2,1904.755752310463,940.451814978497,0.0,5,168.6,147.593360284262,0,0.0,0.0,0.0,0.0,843.0,6.0,4.0,1.2,0.4472135954999579,Accor,5,0.2,False,True,False,False,False,False,False,True,2762.1325,9.5275
