,user_id,birthdate,age_in_years,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,days_as_customer,total_sessions,avg_clicks_per_session,proportion_planning_sessions,avg_session_duration_seconds,avg_sessions_per_month,days_since_last_session,days_since_last_booking,avg_booking_lead_time_days,avg_cancellation_lead_time_days,total_trips,trips_with_flight_and_hotel,proportion_trips_with_flight_and_hotel,total_trips_cancelled,trip_cancellation_rate,total_flights,flights_with_return,proportion_flights_with_return,avg_flight_price,stddev_flight_price,avg_flight_discount_pct,avg_flight_discount_savings,total_flight_discount_savings,total_flight_spend,flights_with_discount,proportion_flights_with_discount,avg_seats_booked,stddev_seats,avg_bags_checked,stddev_checked_bags,top_airline,airline_variety,airline_concentration,top_flight_route,flight_route_variety,flight_route_concentration,avg_distance_flown,stddev_distance_flown_km,proportion_longhaul_flights,total_hotels_booked,avg_hotel_price_per_room,stddev_hotel_per_room_usd,hotels_with_discount,proportion_hotels_with_discount,avg_hotel_discount_pct,avg_hotel_discount_savings,total_hotel_discount_savings,total_hotel_spend,avg_trip_length_nights,stddev_stay_in_nights,avg_rooms_booked,stddev_rooms,top_hotel_chain,hotel_chain_variety,hotel_chain_concentration,never_booked_trips,never_cancelled_trips,never_booked_flights,booked_only_one_flight,never_booked_flights_with_discounts,never_booked_hotels,booked_only_one_hotel,never_booked_hotels_with_discounts,total_spend,total_savings,R_score,F_score,M_score,RFM_score,CV,CV_quantile,CLV,is_churned,avg_flight_price_per_seat
4,106907,1978-11-17,44.0,F,True,True,usa,miami,TNT,25.862,-80.897,2022-02-24,519,8,30.0,0.25,758.915066125,1.1428571428571428,0.0,51.0,224.0,173.0,1,1,1.0,1,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6.0,0.0,5.0,0.0,Air Mauritius,1,1.0,TNT-DUR,1,1.0,0.0,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,Shangri-La,1,1.0,False,False,True,True,True,True,True,True,0.0,0.0,5,1,0,2.25,0.0,1,0.0,False,0.0
10,152583,1986-07-26,37.0,F,False,False,usa,colorado springs,COS,38.806,-104.7,2022-04-17,467,8,18.625,0.125,139.0,1.6,52.0,52.0,9.0,0.0,1,1,1.0,0,0.0,1,1,1.0,367.83,0.0,0.0,0.0,0.0,367.83,0,0.0,1.0,0.0,2.0,0.0,WestJet,1,1.0,COS-YYZ,1,1.0,2178.789038455097,0.0,0.0,1,213.0,0.0,0,0.0,0.0,0.0,0.0,213.0,3.0,0.0,1.0,0.0,Radisson,1,1.0,False,True,False,True,True,False,True,True,580.83,0.0,2,1,1,1.4,1516.6654651550518,4,4181.014785668731,False,367.83
15,171470,1999-09-14,23.0,F,False,False,usa,atlanta,ATL,33.64,-84.427,2022-05-06,448,7,35.142857142857146,0.2857142857142857,1077.142857142857,1.4,17.0,35.0,280.0,262.0,1,0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,Indonesia AirAsia,1,1.0,ATL-JHB,1,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,False,False,True,True,True,True,False,True,0.0,0.0,4,1,0,1.85,0.0,1,0.0,False,0.0
23,195192,1995-09-20,27.0,F,False,False,usa,chicago,MDW,41.786,-87.752,2022-05-28,426,8,28.125,0.125,208.375,1.6,59.0,103.0,16.0,0.0,1,1,1.0,0,0.0,1,1,1.0,394.29,0.0,0.0,0.0,0.0,394.29,0,0.0,2.0,0.0,0.0,0.0,Spirit Airlines,1,1.0,MDW-LGA,1,1.0,1174.423089479478,0.0,0.0,1,160.0,0.0,0,0.0,0.0,0.0,0.0,160.0,1.0,0.0,2.0,0.0,NH Hotel,1,1.0,False,True,False,True,True,False,True,True,554.29,0.0,2,1,1,1.4,1447.3641180393463,4,3989.970706658266,True,197.145
28,216796,2001-07-09,22.0,F,False,False,usa,cincinnati,CVG,39.046,-84.662,2022-06-16,407,8,15.625,0.25,491.328442,2.6666666666666665,136.0,139.0,196.0,193.0,1,1,1.0,1,1.0,1,1,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1,1.0,2.0,0.0,2.0,0.0,Ryanair,1,1.0,CVG-BCN,1,1.0,0.0,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,Conrad,1,1.0,False,False,True,True,True,True,True,True,0.0,0.0,1,1,0,0.65,0.0,1,0.0,True,0.0
37,229108,1998-05-28,25.0,F,False,False,usa,burlington,BTV,44.472,-73.153,2022-06-27,396,8,40.125,0.25,1012.25,1.6,80.0,120.0,169.0,129.0,1,0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,KLM Royal Dutch Airlines,1,1.0,BTV-AUS,1,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,False,False,True,True,True,True,False,True,0.0,0.0,1,1,0,0.65,0.0,1,0.0,True,0.0
42,258451,2000-12-10,22.0,F,False,False,usa,miami,OPF,25.907,-80.278,2022-07-22,371,8,20.875,0.25,219.875,1.6,40.0,44.0,8.0,4.0,1,0,0.0,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,MISSING,0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,Banyan Tree,1,1.0,False,False,True,False,True,True,True,True,0.0,0.0,3,1,0,1.4500000000000002,0.0,1,0.0,False,
50,299476,1985-05-19,38.0,F,True,False,usa,atlanta,ATL,33.64,-84.427,2022-08-25,337,9,20.77777777777778,0.1111111111111111,154.11111111111111,1.2857142857142858,8.0,193.0,8.0,0.0,1,1,1.0,0,0.0,1,1,1.0,192.38,0.0,0.0,0.0,0.0,192.38,0,0.0,1.0,0.0,0.0,0.0,AirTran Airways,1,1.0,ATL-HOU,1,1.0,1109.9174733553673,0.0,0.0,1,71.0,0.0,0,0.0,0.0,0.0,0.0,71.0,2.0,0.0,1.0,0.0,Radisson,1,1.0,False,True,False,True,True,False,True,True,263.38,0.0,5,1,1,2.6,687.7388396132044,1,1895.9001329983478,True,192.38
62,331039,1979-08-02,43.0,F,True,True,canada,london,YXU,43.036,-81.154,2022-09-20,311,8,24.75,0.25,610.045213,2.0,95.0,112.0,252.0,235.0,1,1,1.0,1,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.0,0.0,3.0,0.0,American Airlines,1,1.0,YXU-LAX,1,1.0,0.0,0.0,0.0,1,0.0,0.0,1,1.0,0.1,0.0,0.0,0.0,8.0,0.0,2.0,0.0,Aman Resorts,1,1.0,False,False,True,True,True,True,True,True,0.0,0.0,1,1,0,0.65,0.0,1,0.0,True,0.0
65,338086,1983-12-13,39.0,F,False,True,usa,washington,IAD,38.944,-77.456,2022-09-25,306,7,16.142857142857142,0.14285714285714285,120.85714285714286,1.75,36.0,80.0,4.0,0.0,1,1,1.0,0,0.0,1,1,1.0,644.83,0.0,0.0,0.0,0.0,644.83,0,0.0,1.0,0.0,0.0,0.0,AirTran Airways,1,1.0,IAD-SAN,1,1.0,3621.9456337105876,0.0,0.0,1,76.0,0.0,0,0.0,0.0,0.0,0.0,76.0,3.0,0.0,1.0,0.0,Shangri-La,1,1.0,False,True,False,True,True,False,True,True,720.83,0.0,3,1,2,2.1500000000000004,1882.2339879959986,5,5188.783099966584,False,644.83
