,user_id,birthdate,age_in_years,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,days_as_customer,total_sessions,avg_clicks_per_session,proportion_planning_sessions,avg_session_duration_seconds,avg_sessions_per_month,days_since_last_session,days_since_last_booking,avg_booking_lead_time_days,avg_cancellation_lead_time_days,total_trips,trips_with_flight_and_hotel,proportion_trips_with_flight_and_hotel,total_trips_cancelled,trip_cancellation_rate,total_flights,flights_with_return,proportion_flights_with_return,avg_flight_price,stddev_flight_price,avg_flight_discount_pct,avg_flight_discount_savings,total_flight_discount_savings,total_flight_spend,flights_with_discount,proportion_flights_with_discount,avg_seats_booked,stddev_seats,avg_bags_checked,stddev_checked_bags,top_airline,airline_variety,airline_concentration,top_flight_route,flight_route_variety,flight_route_concentration,avg_distance_flown,stddev_distance_flown_km,proportion_longhaul_flights,total_hotels_booked,avg_hotel_price_per_room,stddev_hotel_per_room_usd,hotels_with_discount,proportion_hotels_with_discount,avg_hotel_discount_pct,avg_hotel_discount_savings,total_hotel_discount_savings,total_hotel_spend,avg_trip_length_nights,stddev_stay_in_nights,avg_rooms_booked,stddev_rooms,top_hotel_chain,hotel_chain_variety,hotel_chain_concentration,never_booked_trips,never_cancelled_trips,never_booked_flights,booked_only_one_flight,never_booked_flights_with_discounts,never_booked_hotels,booked_only_one_hotel,never_booked_hotels_with_discounts,total_spend,total_savings,R_score,F_score,M_score,RFM_score,CV,CV_quantile,CLV,is_churned,avg_flight_price_per_seat
2,101486,1972-12-07,50.0,F,True,True,usa,tacoma,TCM,47.138,-122.476,2022-02-17,526,8,16.375,0.25,122.25,1.1428571428571428,9.0,40.0,8.0,0.0,2,1,0.5,0,0.0,1,1,1.0,189.91,0.0,0.0,0.0,0.0,189.91,0,0.0,1.0,0.0,0.0,0.0,United Airlines,1,1.0,TCM-YED,1,1.0,965.3405679141879,0.0,0.0,2,198.5,77.07463914933368,0,0.0,0.0,0.0,0.0,397.0,4.5,0.7071067811865476,1.5,0.7071067811865476,Banyan Tree,2,0.5,False,True,False,True,True,False,False,True,586.91,0.0,5,2,1,2.85,766.2707919306434,2,2112.390361944833,False,189.91
4,106907,1978-11-17,44.0,F,True,True,usa,miami,TNT,25.862,-80.897,2022-02-24,519,8,30.0,0.25,758.915066125,1.1428571428571428,0.0,51.0,224.0,173.0,1,1,1.0,1,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6.0,0.0,5.0,0.0,Air Mauritius,1,1.0,TNT-DUR,1,1.0,0.0,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,Shangri-La,1,1.0,False,False,True,True,True,True,True,True,0.0,0.0,5,1,0,2.25,0.0,1,0.0,False,0.0
5,118043,1972-05-04,51.0,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-03-10,505,8,20.5,0.625,153.125,1.3333333333333333,12.0,12.0,8.6,0.0,5,2,0.4,0,0.0,3,3,1.0,779.7633333333333,372.595257931892,0.0,0.0,0.0,2339.29,0,0.0,2.0,1.0,1.0,0.0,American Airlines,3,0.3333333333333333,LAX-BIF,3,0.3333333333333333,2455.0245088864162,1425.717263051663,0.0,4,227.25,147.101722174374,2,0.5,0.15,16.8,33.6,875.4,6.0,3.162277660168379,1.25,0.5,Fairmont,2,0.75,False,True,False,False,True,False,False,False,3214.69,33.6,5,5,5,5.0,1678.842106702234,4,4628.089603271667,False,389.88166666666666
6,120851,1972-09-25,50.0,F,True,True,usa,santa ana,SNA,33.676,-117.868,2022-03-13,502,8,6.875,0.125,51.75,1.3333333333333333,45.0,111.0,8.0,0.0,1,1,1.0,0,0.0,1,1,1.0,384.68,0.0,0.0,0.0,0.0,384.68,0,0.0,1.0,0.0,0.0,0.0,Delta Air Lines,1,1.0,SNA-YXD,1,1.0,2249.8338724512255,0.0,0.0,1,182.0,0.0,0,0.0,0.0,0.0,0.0,182.0,11.0,0.0,1.0,0.0,Best Western,1,1.0,False,True,False,True,True,False,True,True,566.68,0.0,2,1,1,1.4,1479.71693231077,4,4079.158202473626,True,384.68
7,125845,1983-12-01,39.0,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-03-19,496,9,17.666666666666668,0.3333333333333333,131.77777777777777,1.2857142857142858,7.0,52.0,9.333333333333334,0.0,3,3,1.0,0,0.0,3,3,1.0,584.44,111.277794730126,0.15,106.557,106.557,1646.763,1,0.3333333333333333,1.3333333333333333,0.5773502691896257,0.6666666666666666,0.5773502691896257,AirTran Airways,3,0.3333333333333333,BIF-IND,3,0.3333333333333333,2700.781458471575,601.9802290224779,0.0,3,123.66666666666667,68.0171546988944,0,0.0,0.0,0.0,0.0,371.0,2.3333333333333335,1.5275252316519468,1.3333333333333333,0.5773502691896257,Four Seasons,2,0.6666666666666666,False,True,False,False,False,False,False,True,2017.763,106.557,5,3,4,4.15,1756.2634270312326,5,4841.518136101381,False,438.33000000000004
9,149058,1973-01-22,50.0,F,False,True,usa,birmingham,BHM,33.563,-86.753,2022-04-14,470,8,17.75,0.625,131.75,1.3333333333333333,38.0,102.0,6.6,0.0,5,5,1.0,0,0.0,5,5,1.0,385.732,177.882292738766,0.05,9.5275,9.5275,1919.1325,1,0.2,1.2,0.4472135954999579,0.4,0.5477225575051661,Alaska Airlines,5,0.2,BHM-AUS,5,0.2,1904.755752310463,940.451814978497,0.0,5,168.6,147.593360284262,0,0.0,0.0,0.0,0.0,843.0,6.0,4.0,1.2,0.4472135954999579,Accor,5,0.2,False,True,False,False,False,False,False,True,2762.1325,9.5275,3,5,5,4.2,1442.49813987996,4,3976.5565905604517,True,321.4433333333334
10,152583,1986-07-26,37.0,F,False,False,usa,colorado springs,COS,38.806,-104.7,2022-04-17,467,8,18.625,0.125,139.0,1.6,52.0,52.0,9.0,0.0,1,1,1.0,0,0.0,1,1,1.0,367.83,0.0,0.0,0.0,0.0,367.83,0,0.0,1.0,0.0,2.0,0.0,WestJet,1,1.0,COS-YYZ,1,1.0,2178.789038455097,0.0,0.0,1,213.0,0.0,0,0.0,0.0,0.0,0.0,213.0,3.0,0.0,1.0,0.0,Radisson,1,1.0,False,True,False,True,True,False,True,True,580.83,0.0,2,1,1,1.4,1516.6654651550518,4,4181.014785668731,False,367.83
11,153982,1978-08-15,44.0,F,False,True,canada,toronto,YKZ,43.862,-79.37,2022-04-19,465,8,18.75,0.375,138.5,1.1428571428571428,7.0,7.0,9.333333333333334,0.0,3,3,1.0,0,0.0,3,3,1.0,218.95666666666668,201.206832471796,0.0,0.0,0.0,656.87,0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,Spirit Airlines,2,0.6666666666666666,YKZ-BWI,3,0.3333333333333333,1282.5421897455988,1225.0637086043394,0.0,3,207.0,204.075966247866,0,0.0,0.0,0.0,0.0,621.0,2.3333333333333335,0.5773502691896257,1.0,0.0,Banyan Tree,3,0.3333333333333333,False,True,False,False,True,False,False,True,1277.87,0.0,5,3,3,3.8,1112.2596387684782,3,3066.1830852185667,False,218.95666666666668
15,171470,1999-09-14,23.0,F,False,False,usa,atlanta,ATL,33.64,-84.427,2022-05-06,448,7,35.142857142857146,0.2857142857142857,1077.142857142857,1.4,17.0,35.0,280.0,262.0,1,0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,Indonesia AirAsia,1,1.0,ATL-JHB,1,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,False,False,True,True,True,True,False,True,0.0,0.0,4,1,0,1.85,0.0,1,0.0,False,0.0
17,175032,1994-11-05,28.0,F,False,False,usa,houston,IAH,29.98,-95.34,2022-05-10,444,9,14.11111111111111,0.3333333333333333,104.33333333333333,1.2857142857142858,7.0,7.0,8.0,0.0,3,2,0.6666666666666666,0,0.0,2,2,1.0,554.625,569.878568161674,0.0,0.0,0.0,1109.25,0,0.0,2.0,1.414213562373095,0.5,0.7071067811865476,American Airlines,2,0.5,IAH-LAS,2,0.5,1358.8176419889678,854.6099043837403,0.0,3,139.0,50.08991914547278,1,0.3333333333333333,0.15,22.65,22.65,394.35,4.333333333333333,3.511884584284246,2.0,1.0,Conrad,3,0.3333333333333333,False,True,False,False,True,False,False,False,1503.6,22.65,5,3,3,3.8,1308.7353117705902,3,3607.810565186316,False,277.3125
