,user_id,birthdate,age_in_years,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,days_as_customer,total_sessions,avg_clicks_per_session,proportion_planning_sessions,avg_session_duration_seconds,avg_sessions_per_month,days_since_last_session,days_since_last_booking,avg_booking_lead_time_days,avg_cancellation_lead_time_days,total_trips,trips_with_flight_and_hotel,proportion_trips_with_flight_and_hotel,total_trips_cancelled,trip_cancellation_rate,total_flights,flights_with_return,proportion_flights_with_return,avg_flight_price,stddev_flight_price,avg_flight_discount_pct,avg_flight_discount_savings,total_flight_discount_savings,total_flight_spend,flights_with_discount,proportion_flights_with_discount,avg_seats_booked,stddev_seats,avg_bags_checked,stddev_checked_bags,top_airline,airline_variety,airline_concentration,top_flight_route,flight_route_variety,flight_route_concentration,avg_distance_flown,stddev_distance_flown_km,proportion_longhaul_flights,total_hotels_booked,avg_hotel_price_per_room,stddev_hotel_per_room_usd,hotels_with_discount,proportion_hotels_with_discount,avg_hotel_discount_pct,avg_hotel_discount_savings,total_hotel_discount_savings,total_hotel_spend,avg_trip_length_nights,stddev_stay_in_nights,avg_rooms_booked,stddev_rooms,top_hotel_chain,hotel_chain_variety,hotel_chain_concentration,never_booked_trips,never_cancelled_trips,never_booked_flights,booked_only_one_flight,never_booked_flights_with_discounts,never_booked_hotels,booked_only_one_hotel,never_booked_hotels_with_discounts,total_spend,total_savings,R_score,F_score,M_score,RFM_score,CV,CV_quantile,CLV,is_churned,avg_flight_price_per_seat
4,106907,1978-11-17,44.0,F,True,True,usa,miami,TNT,25.862,-80.897,2022-02-24,519,8,30.0,0.25,758.915066125,1.1428571428571428,0.0,51.0,224.0,173.0,1,1,1.0,1,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6.0,0.0,5.0,0.0,Air Mauritius,1,1.0,TNT-DUR,1,1.0,0.0,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,Shangri-La,1,1.0,False,False,True,True,True,True,True,True,0.0,0.0,5,1,0,2.25,0.0,1,0.0,False,0.0
7,125845,1983-12-01,39.0,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-03-19,496,9,17.666666666666668,0.3333333333333333,131.77777777777777,1.2857142857142858,7.0,52.0,9.333333333333334,0.0,3,3,1.0,0,0.0,3,3,1.0,584.44,111.277794730126,0.15,106.557,106.557,1646.763,1,0.3333333333333333,1.3333333333333333,0.5773502691896257,0.6666666666666666,0.5773502691896257,AirTran Airways,3,0.3333333333333333,BIF-IND,3,0.3333333333333333,2700.781458471575,601.9802290224779,0.0,3,123.66666666666667,68.0171546988944,0,0.0,0.0,0.0,0.0,371.0,2.3333333333333335,1.5275252316519468,1.3333333333333333,0.5773502691896257,Four Seasons,2,0.6666666666666666,False,True,False,False,False,False,False,True,2017.763,106.557,5,3,4,4.15,1756.2634270312326,5,4841.518136101381,False,438.33000000000004
15,171470,1999-09-14,23.0,F,False,False,usa,atlanta,ATL,33.64,-84.427,2022-05-06,448,7,35.142857142857146,0.2857142857142857,1077.142857142857,1.4,17.0,35.0,280.0,262.0,1,0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.1,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,Indonesia AirAsia,1,1.0,ATL-JHB,1,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,False,False,True,True,True,True,False,True,0.0,0.0,4,1,0,1.85,0.0,1,0.0,False,0.0
18,181157,1970-08-10,52.0,F,True,False,usa,houston,HOU,29.645,-95.279,2022-05-15,439,8,19.125,0.375,141.125,1.1428571428571428,20.0,121.0,6.0,0.0,3,3,1.0,0,0.0,3,3,1.0,346.4766666666667,209.460878527073,0.15,80.4045,80.4045,959.0255,1,0.3333333333333333,2.0,1.7320508075688772,1.0,1.0,Air France,3,0.3333333333333333,HOU-OKC,2,0.6666666666666666,1194.2256923912298,899.0756652222474,0.0,3,162.33333333333334,57.51811308912466,1,0.3333333333333333,0.15,15.6,15.6,471.4,3.6666666666666665,3.0550504633038935,2.0,1.7320508075688772,Radisson,2,0.6666666666666666,False,True,False,False,False,False,False,False,1430.4255,96.0045,4,3,3,3.4,1245.0441358786263,3,3432.2321306277727,True,173.23833333333334
24,204943,1982-12-20,40.0,M,False,False,canada,ottawa,YOW,45.323,-75.669,2022-06-06,417,8,36.5,0.875,1043.5,1.1428571428571428,0.0,41.0,40.333333333333336,155.0,6,6,1.0,1,0.16666666666666666,6,6,1.0,470.116,540.576684273379,0.1,26.758,26.758,2323.822,2,0.3333333333333333,1.4285714285714286,0.8366600265340756,1.3333333333333333,1.8618986725025255,American Airlines,6,0.16666666666666666,YOW-LGA,5,0.3333333333333333,1564.5455295396043,1357.1746979565503,0.0,6,153.8,119.349067863976,1,0.16666666666666666,0.0,0.0,0.0,769.0,6.0,6.131883886702357,1.5,0.8366600265340756,InterContinental,6,0.16666666666666666,False,False,False,False,False,False,False,True,3092.822,26.758,5,5,5,5.0,1345.9980594642657,4,3710.5333492420427,False,329.08119999999997
25,204997,1985-08-26,37.0,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-06-06,417,7,56.714285714285715,0.5714285714285714,1237.7142857142858,1.1666666666666667,17.0,17.0,8.666666666666666,10.0,3,2,0.6666666666666666,1,0.3333333333333333,3,3,1.0,244.235,151.243069427991,0.25,0.0,0.0,488.47,1,0.3333333333333333,1.5,0.5773502691896257,0.3333333333333333,0.5773502691896257,JetBlue Airways,2,0.6666666666666666,MCI-CLT,3,0.3333333333333333,1272.2468837453716,514.0573853135686,0.0,2,71.0,0.0,1,0.5,0.1,0.0,0.0,71.0,4.0,1.414213562373095,1.5,0.7071067811865476,Crowne Plaza,2,0.5,False,False,False,False,True,False,False,True,559.47,0.0,4,3,1,2.7,486.9633844614872,1,1342.4193780957623,False,162.82333333333335
31,220725,1983-07-28,40.0,F,False,False,usa,stockton,SCK,37.894,-121.239,2022-06-20,403,9,35.111111111111114,0.5555555555555556,948.8888888888889,1.5,50.0,50.0,6.25,2.0,4,3,0.75,1,0.25,4,4,1.0,511.14,194.010754083375,0.0,0.0,0.0,1533.42,1,0.25,1.0,0.0,0.25,0.5,AirTran Airways,4,0.25,SCK-SAT,4,0.25,3082.252780965951,815.2506538549734,0.0,3,140.0,25.45584412271571,1,0.3333333333333333,0.0,0.0,0.0,280.0,4.666666666666667,0.5773502691896257,1.0,0.0,Rosewood,3,0.3333333333333333,False,False,False,False,True,False,False,True,1813.42,0.0,2,4,4,3.2,1183.8022690896967,3,3263.405743775025,False,511.14
36,229009,2006-08-27,16.0,F,False,False,usa,stockton,SCK,37.894,-121.239,2022-06-27,396,8,18.0,0.5,264.78542925,1.3333333333333333,19.0,49.0,118.66666666666667,307.0,3,2,0.6666666666666666,1,0.3333333333333333,3,3,1.0,530.815,279.427386721488,0.0,0.0,0.0,1061.63,1,0.3333333333333333,1.0,0.0,0.3333333333333333,0.5773502691896257,Mandarin Airlines,3,0.3333333333333333,SCK-TSA,3,0.3333333333333333,2949.66809681199,4457.303825752296,0.0,2,149.5,36.062445840513924,0,0.0,0.0,0.0,0.0,299.0,2.5,0.7071067811865476,1.0,0.0,InterContinental,2,0.5,False,False,False,False,True,False,False,True,1360.63,0.0,4,3,3,3.4,1184.2940457930422,3,3264.761432102592,False,530.815
37,229108,1998-05-28,25.0,F,False,False,usa,burlington,BTV,44.472,-73.153,2022-06-27,396,8,40.125,0.25,1012.25,1.6,80.0,120.0,169.0,129.0,1,0,0.0,1,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,KLM Royal Dutch Airlines,1,1.0,BTV-AUS,1,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,False,False,True,True,True,True,False,True,0.0,0.0,1,1,0,0.65,0.0,1,0.0,True,0.0
40,249521,1964-07-23,59.0,F,True,True,canada,ottawa,YOW,45.323,-75.669,2022-07-15,378,8,18.875,0.25,140.625,1.3333333333333333,23.0,23.0,8.0,0.0,2,1,0.5,0,0.0,1,1,1.0,642.02,0.0,0.0,0.0,0.0,642.02,0,0.0,1.0,0.0,1.0,0.0,Air Canada,1,1.0,YOW-YVR,1,1.0,3551.7999406903264,0.0,0.0,2,141.5,47.37615433949868,1,0.5,0.1,10.8,10.8,272.2,2.0,0.0,1.0,0.0,Extended Stay,2,0.5,False,True,False,True,True,False,False,False,914.22,10.8,4,2,2,2.8,1193.6073391130376,3,3290.435529633513,False,642.02
