,user_id,birthdate,age_in_years,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,days_as_customer,total_sessions,avg_clicks_per_session,proportion_planning_sessions,avg_session_duration_seconds,avg_sessions_per_month,days_since_last_session,days_since_last_booking,avg_booking_lead_time_days,avg_cancellation_lead_time_days,total_trips,trips_with_flight_and_hotel,proportion_trips_with_flight_and_hotel,total_trips_cancelled,trip_cancellation_rate,total_flights,flights_with_return,proportion_flights_with_return,avg_flight_price,stddev_flight_price,avg_flight_discount_pct,avg_flight_discount_savings,total_flight_discount_savings,total_flight_spend,flights_with_discount,proportion_flights_with_discount,avg_seats_booked,stddev_seats,avg_bags_checked,stddev_checked_bags,top_airline,airline_variety,airline_concentration,top_flight_route,flight_route_variety,flight_route_concentration,avg_distance_flown,stddev_distance_flown_km,proportion_longhaul_flights,total_hotels_booked,avg_hotel_price_per_room,stddev_hotel_per_room_usd,hotels_with_discount,proportion_hotels_with_discount,avg_hotel_discount_pct,avg_hotel_discount_savings,total_hotel_discount_savings,total_hotel_spend,avg_trip_length_nights,stddev_stay_in_nights,avg_rooms_booked,stddev_rooms,top_hotel_chain,hotel_chain_variety,hotel_chain_concentration,never_booked_trips,never_cancelled_trips,never_booked_flights,booked_only_one_flight,never_booked_flights_with_discounts,never_booked_hotels,booked_only_one_hotel,never_booked_hotels_with_discounts,total_spend,total_savings,R_score,F_score,M_score,RFM_score,CV,CV_quantile,CLV,is_churned,avg_flight_price_per_seat
288,457468,1983-08-12,39.0,F,True,False,usa,phoenix,LUF,33.535,-112.383,2022-12-08,232,8,18.25,0.5,136.5,1.3333333333333333,45.0,45.0,6.75,0.0,4,2,0.5,0,0.0,2,2,1.0,183.47,155.78976603102,0.25,73.4075,73.4075,293.5325,1,0.5,2.0,1.414213562373095,2.0,1.414213562373095,Delta Air Lines,2,0.5,LUF-LSQ,2,0.5,469.1495790557456,126.88484607824105,0.0,4,139.75,111.368382706523,0,0.0,0.0,0.0,0.0,559.0,4.75,1.2583057392117916,1.5,1.0,Aman Resorts,4,0.25,False,True,False,False,False,False,False,True,852.5325,73.4075,2,4,2,2.5,556.5340119623207,1,1534.2057864448836,False,91.735
348,469464,1977-11-16,45.0,F,True,False,usa,mobile,BFM,30.626,-88.068,2022-12-14,226,8,11.5,0.5,84.75,1.3333333333333333,44.0,44.0,6.5,0.0,4,1,0.25,0,0.0,2,2,1.0,604.19,49.38433759806848,0.0,0.0,0.0,1208.38,0,0.0,2.0,0.0,1.5,2.1213203435596424,American Airlines,2,0.5,BFM-PHL,2,0.5,1604.6666079097888,76.40943707992801,0.0,3,111.66666666666667,39.0042732701602,1,0.3333333333333333,0.15,20.85,20.85,314.15,5.0,3.4641016151377544,1.6666666666666667,0.5773502691896257,Choice Hotels,3,0.3333333333333333,False,True,False,False,True,False,False,False,1522.53,20.85,2,4,4,3.2,993.9090055018339,2,2739.9240920855555,False,302.095
552,491617,1970-10-12,52.0,F,False,False,canada,hamilton,YHM,43.173,-79.935,2022-12-26,214,9,11.333333333333334,0.4444444444444444,83.44444444444444,1.5,48.0,48.0,6.0,0.0,4,3,0.75,0,0.0,3,3,1.0,675.04,598.905652085535,0.05,64.664,64.664,1960.456,1,0.3333333333333333,2.0,1.7320508075688772,1.3333333333333333,1.1547005383792515,American Airlines,1,1.0,YHM-FTW,3,0.3333333333333333,1968.997758291539,1465.611070911754,0.0,4,121.75,59.48319090297695,0,0.0,0.0,0.0,0.0,487.0,7.0,9.41629792788369,1.75,1.5,Accor,4,0.25,False,True,False,False,False,False,False,True,2447.456,64.664,2,4,5,3.55,1597.7015618539513,4,4404.408227568157,False,337.52
568,493718,1970-06-10,53.0,F,True,True,usa,san antonio,SAT,29.534,-98.47,2022-12-27,213,9,17.77777777777778,0.4444444444444444,131.77777777777777,2.25,92.0,117.0,5.75,0.0,4,3,0.75,0,0.0,3,3,1.0,858.92,307.699993012675,0.25,128.1025,128.1025,2448.6575,1,0.3333333333333333,2.0,1.0,0.0,0.0,Air France,3,0.3333333333333333,SAT-HLZ,3,0.3333333333333333,2681.008812731017,385.3349241054134,0.0,4,265.0,214.729286932795,2,0.5,0.075,35.075,70.15,989.85,5.5,1.7320508075688772,1.75,0.9574271077563381,Extended Stay,4,0.25,False,True,False,False,False,False,False,False,3438.5075,198.2525,1,4,5,3.15,2244.6609063437813,5,6187.890905313441,True,429.46
1052,511803,1986-08-23,36.0,F,True,True,usa,detroit,YIP,42.238,-83.53,2023-01-05,204,8,16.5,0.5,123.25,1.1428571428571428,11.0,91.0,6.5,0.0,4,2,0.5,0,0.0,3,3,1.0,797.2566666666667,632.987680317187,0.0,0.0,0.0,2391.77,0,0.0,2.0,1.0,0.3333333333333333,0.5773502691896257,Allegiant Air,3,0.3333333333333333,YIP-ELP,3,0.3333333333333333,1956.7034716527426,1426.0833950438293,0.0,3,339.6666666666667,149.386523265432,1,0.3333333333333333,0.1,24.7,24.7,994.3,4.666666666666667,1.5275252316519468,1.6666666666666667,1.1547005383792515,Choice Hotels,3,0.3333333333333333,False,True,False,False,True,False,False,False,3386.07,24.7,5,4,5,4.75,2210.4296573857955,5,6093.525099990238,True,398.62833333333333
1105,512303,1974-03-10,49.0,F,False,True,usa,denver,DEN,39.858,-104.667,2023-01-05,204,8,15.625,0.5,116.875,1.3333333333333333,29.0,29.0,6.5,0.0,4,2,0.5,0,0.0,3,3,1.0,528.8766666666667,196.514653991333,0.0,0.0,0.0,1586.63,0,0.0,2.0,1.0,0.6666666666666666,1.1547005383792515,Delta Air Lines,3,0.3333333333333333,DEN-JFK,3,0.3333333333333333,1676.4037109170833,839.2555808380895,0.0,3,140.33333333333334,54.04936015655813,2,0.6666666666666666,0.125,12.075,24.15,396.85,4.666666666666667,4.041451884327381,1.3333333333333333,0.5773502691896257,Conrad,3,0.3333333333333333,False,True,False,False,True,False,False,False,1983.48,24.15,3,4,4,3.6,1294.8175958652885,3,3569.443385791976,False,264.43833333333333
1151,512831,1980-02-22,43.0,F,False,False,usa,san antonio,SKF,29.384,-98.581,2023-01-06,203,8,14.25,0.5,104.75,1.1428571428571428,17.0,17.0,6.75,0.0,4,1,0.25,0,0.0,3,3,1.0,760.1066666666667,940.35245867352,0.0,0.0,0.0,2280.32,0,0.0,2.0,1.7320508075688772,1.0,0.0,American Airlines,2,0.6666666666666666,SKF-AUS,3,0.3333333333333333,1678.6605617218393,1349.609433205131,0.0,2,289.5,36.062445840513924,0,0.0,0.0,0.0,0.0,579.0,2.5,0.7071067811865476,1.0,0.0,Extended Stay,2,0.5,False,True,False,False,True,False,False,True,2859.32,0.0,4,4,5,4.35,1866.5667655885295,5,5145.5930293538195,False,380.05333333333334
2093,525332,1993-07-09,30.0,F,False,False,canada,toronto,YKZ,43.862,-79.37,2023-01-12,197,8,43.625,0.75,726.311615375,1.3333333333333333,27.0,27.0,6.4,2.0,5,5,1.0,1,0.2,5,5,1.0,235.95,206.006176121009,0.15,30.6855,30.6855,913.1145,2,0.4,2.1666666666666665,1.3038404810405297,0.6,0.5477225575051661,American Airlines,5,0.2,YKZ-CMH,4,0.2,1222.8426057761735,1152.1246736515964,0.0,5,201.5,140.879381032144,1,0.2,0.05,0.0,0.0,806.0,5.2,2.7748873851023217,1.8,1.3038404810405297,Aman Resorts,5,0.2,False,False,False,False,False,False,False,True,1719.1145,30.6855,3,5,4,3.85,897.7916405135045,2,2474.955888214282,False,108.9
2393,529972,1968-05-26,55.0,F,True,True,usa,wichita,IAB,37.623,-97.267,2023-01-14,195,8,13.625,0.375,101.625,1.6,63.0,121.0,5.666666666666667,0.0,3,2,0.6666666666666666,0,0.0,2,2,1.0,706.8,565.430866508011,0.2,61.396,61.396,1352.204,1,0.5,2.0,1.414213562373095,1.0,0.0,Delta Air Lines,2,0.5,IAB-LGA,2,0.5,1851.169358413346,277.2298582022464,0.0,3,99.66666666666667,36.22614157391501,1,0.3333333333333333,0.1,6.6,6.6,292.4,12.333333333333334,15.37313674346694,1.6666666666666667,1.1547005383792515,Crowne Plaza,3,0.3333333333333333,False,True,False,False,False,False,False,False,1644.604,67.996,2,3,4,2.95,1431.4653689007446,4,3946.142382779779,True,353.4
2533,531989,1969-08-07,53.0,F,False,True,usa,san francisco,SFO,37.619,-122.375,2023-01-15,194,8,17.5,0.375,131.875,1.3333333333333333,51.0,68.0,5.0,0.0,3,2,0.6666666666666666,0,0.0,2,2,1.0,1390.04,116.30492336956334,0.1,147.228,147.228,2632.852,1,0.5,2.0,0.0,0.5,0.7071067811865476,American Airlines,2,0.5,SFO-JFK,2,0.5,3899.223663169803,357.15945944720266,0.0,3,159.66666666666666,100.27129865187412,0,0.0,0.0,0.0,0.0,479.0,5.666666666666667,5.507570547286102,1.6666666666666667,0.5773502691896257,Accor,3,0.3333333333333333,False,True,False,False,False,False,False,True,3111.852,147.228,2,3,5,3.3,2708.5598546182055,5,7466.728200915247,False,695.02
