,user_id,birthdate,age_in_years,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,days_as_customer,total_sessions,avg_clicks_per_session,proportion_planning_sessions,avg_session_duration_seconds,avg_sessions_per_month,days_since_last_session,days_since_last_booking,avg_booking_lead_time_days,avg_cancellation_lead_time_days,total_trips,trips_with_flight_and_hotel,proportion_trips_with_flight_and_hotel,total_trips_cancelled,trip_cancellation_rate,total_flights,flights_with_return,proportion_flights_with_return,avg_flight_price,stddev_flight_price,avg_flight_discount_pct,avg_flight_discount_savings,total_flight_discount_savings,total_flight_spend,flights_with_discount,proportion_flights_with_discount,avg_seats_booked,stddev_seats,avg_bags_checked,stddev_checked_bags,top_airline,airline_variety,airline_concentration,top_flight_route,flight_route_variety,flight_route_concentration,avg_distance_flown,stddev_distance_flown_km,proportion_longhaul_flights,total_hotels_booked,avg_hotel_price_per_room,stddev_hotel_per_room_usd,hotels_with_discount,proportion_hotels_with_discount,avg_hotel_discount_pct,avg_hotel_discount_savings,total_hotel_discount_savings,total_hotel_spend,avg_trip_length_nights,stddev_stay_in_nights,avg_rooms_booked,stddev_rooms,top_hotel_chain,hotel_chain_variety,hotel_chain_concentration,never_booked_trips,never_cancelled_trips,never_booked_flights,booked_only_one_flight,never_booked_flights_with_discounts,never_booked_hotels,booked_only_one_hotel,never_booked_hotels_with_discounts,total_spend,total_savings,R_score,F_score,M_score,RFM_score,CV,CV_quantile,CLV,is_churned,avg_flight_price_per_seat
5,118043,1972-05-04,51.0,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-03-10,505,8,20.5,0.625,153.125,1.3333333333333333,12.0,12.0,8.6,0.0,5,2,0.4,0,0.0,3,3,1.0,779.7633333333333,372.595257931892,0.0,0.0,0.0,2339.29,0,0.0,2.0,1.0,1.0,0.0,American Airlines,3,0.3333333333333333,LAX-BIF,3,0.3333333333333333,2455.0245088864162,1425.717263051663,0.0,4,227.25,147.101722174374,2,0.5,0.15,16.8,33.6,875.4,6.0,3.162277660168379,1.25,0.5,Fairmont,2,0.75,False,True,False,False,True,False,False,False,3214.69,33.6,5,5,5,5.0,1678.842106702234,4,4628.089603271667,False,389.88166666666666
18,181157,1970-08-10,52.0,F,True,False,usa,houston,HOU,29.645,-95.279,2022-05-15,439,8,19.125,0.375,141.125,1.1428571428571428,20.0,121.0,6.0,0.0,3,3,1.0,0,0.0,3,3,1.0,346.4766666666667,209.460878527073,0.15,80.4045,80.4045,959.0255,1,0.3333333333333333,2.0,1.7320508075688772,1.0,1.0,Air France,3,0.3333333333333333,HOU-OKC,2,0.6666666666666666,1194.2256923912298,899.0756652222474,0.0,3,162.33333333333334,57.51811308912466,1,0.3333333333333333,0.15,15.6,15.6,471.4,3.6666666666666665,3.0550504633038935,2.0,1.7320508075688772,Radisson,2,0.6666666666666666,False,True,False,False,False,False,False,False,1430.4255,96.0045,4,3,3,3.4,1245.0441358786263,3,3432.2321306277727,True,173.23833333333334
24,204943,1982-12-20,40.0,M,False,False,canada,ottawa,YOW,45.323,-75.669,2022-06-06,417,8,36.5,0.875,1043.5,1.1428571428571428,0.0,41.0,40.333333333333336,155.0,6,6,1.0,1,0.16666666666666666,6,6,1.0,470.116,540.576684273379,0.1,26.758,26.758,2323.822,2,0.3333333333333333,1.4285714285714286,0.8366600265340756,1.3333333333333333,1.8618986725025255,American Airlines,6,0.16666666666666666,YOW-LGA,5,0.3333333333333333,1564.5455295396043,1357.1746979565503,0.0,6,153.8,119.349067863976,1,0.16666666666666666,0.0,0.0,0.0,769.0,6.0,6.131883886702357,1.5,0.8366600265340756,InterContinental,6,0.16666666666666666,False,False,False,False,False,False,False,True,3092.822,26.758,5,5,5,5.0,1345.9980594642657,4,3710.5333492420427,False,329.08119999999997
45,281952,1987-01-23,36.0,F,False,False,usa,louisville,LOU,38.228,-85.664,2022-08-11,351,8,19.75,0.25,146.375,1.1428571428571428,19.0,19.0,8.0,0.0,2,2,1.0,0,0.0,2,2,1.0,342.36,201.53957477379,0.0,0.0,0.0,684.72,0,0.0,1.0,0.0,1.5,0.7071067811865476,Delta Air Lines,2,0.5,LOU-LGA,2,0.5,1845.0144010402562,1118.0678621504646,0.0,2,131.5,65.76093065034893,1,0.5,0.15,26.7,26.7,236.3,1.5,0.7071067811865476,1.0,0.0,Aman Resorts,2,0.5,False,True,False,False,True,False,False,False,921.02,26.7,4,2,2,2.8,1202.4854318106036,3,3314.909902980747,False,342.36
47,290123,1983-04-08,40.0,F,True,False,usa,houston,HOU,29.645,-95.279,2022-08-18,344,8,21.375,0.75,158.125,1.3333333333333333,13.0,13.0,7.0,0.0,6,5,0.8333333333333334,0,0.0,6,5,0.8333333333333334,739.455,606.612537448741,0.0,0.0,0.0,4436.73,0,0.0,1.6666666666666667,0.816496580927726,1.0,1.0954451150103321,United Airlines,5,0.3333333333333333,HOU-DEN,6,0.16666666666666666,2418.0680644574077,713.4501018800385,0.0,5,243.6,143.5698436302,0,0.0,0.0,0.0,0.0,1218.0,3.6,2.073644135332772,1.8,0.8366600265340756,Aman Resorts,5,0.2,False,True,False,False,True,False,False,True,5654.73,0.0,5,5,5,5.0,2460.94201567189,5,6784.1163332255965,False,443.673
68,347778,1974-07-20,49.0,F,False,False,usa,las vegas,LSV,36.236,-115.034,2022-10-03,298,9,18.0,0.5555555555555556,133.33333333333334,1.5,34.0,34.0,6.4,0.0,5,4,0.8,0,0.0,5,5,1.0,846.738,1071.917682273224,0.0,0.0,0.0,4233.69,0,0.0,1.6,1.3416407864998738,1.0,0.7071067811865476,Ryanair,4,0.4,LSV-JFK,4,0.4,2487.967618656661,1321.9224590181589,0.0,4,226.75,37.48221800623153,0,0.0,0.0,0.0,0.0,907.0,3.25,0.5,1.75,1.5,Hilton,4,0.25,False,True,False,False,True,False,False,True,5140.69,0.0,3,5,5,4.2,2684.677785261754,5,7400.89213661119,False,529.21125
76,354260,1974-09-27,48.0,F,False,False,usa,providence,PVD,41.724,-71.428,2022-10-07,294,8,14.5,0.25,107.875,2.0,115.0,167.0,11.5,0.0,2,1,0.5,0,0.0,2,2,1.0,582.505,200.330422177961,0.0,0.0,0.0,1165.01,0,0.0,1.0,0.0,1.0,0.0,JetBlue Airways,2,0.5,PVD-FAT,2,0.5,3329.3287021285178,1146.0744133857547,0.0,1,260.0,0.0,0,0.0,0.0,0.0,0.0,260.0,3.0,0.0,1.0,0.0,Banyan Tree,1,1.0,False,True,False,False,True,False,True,True,1425.01,0.0,1,2,3,1.9499999999999997,1860.4957169056352,5,5128.856876991373,True,582.505
82,359080,1982-05-09,41.0,F,True,False,usa,new york,JFK,40.64,-73.779,2022-10-11,290,8,15.75,0.5,119.0,1.1428571428571428,24.0,24.0,77.0,0.0,4,2,0.5,0,0.0,4,4,1.0,1288.39,1674.10805451739,0.0,0.0,0.0,5153.56,0,0.0,1.25,0.5,1.0,0.0,Air Canada,4,0.25,JFK-DXB,4,0.25,4617.660274298968,4466.292386084852,0.25,2,338.5,20.506096654409877,0,0.0,0.0,0.0,0.0,677.0,3.0,1.414213562373095,1.0,0.0,Wyndham,1,1.0,False,True,False,False,True,False,False,True,5830.56,0.0,4,4,5,4.35,3806.195011670557,5,10492.595754665168,False,1030.712
83,359653,1968-12-26,54.0,M,False,False,canada,victoria,YYJ,48.647,-123.426,2022-10-12,289,8,15.875,0.25,118.0,1.1428571428571428,20.0,168.0,7.0,0.0,2,2,1.0,0,0.0,2,2,1.0,392.165,103.58407237601735,0.0,0.0,0.0,784.33,0,0.0,1.0,0.0,1.0,0.0,American Airlines,2,0.5,YYJ-FTW,2,0.5,2238.5998423301307,780.0209094393136,0.0,2,215.0,83.43860018001261,1,0.5,0.1,27.4,27.4,402.6,2.5,0.7071067811865476,1.0,0.0,Four Seasons,2,0.5,False,True,False,False,True,False,False,False,1186.93,27.4,4,2,3,3.15,1549.6580243414471,4,4271.965876034112,True,392.165
115,386914,1977-12-08,45.0,F,True,True,canada,hamilton,YHM,43.173,-79.935,2022-10-30,271,8,36.75,0.375,987.375,1.1428571428571428,3.0,87.0,116.5,141.0,2,1,0.5,1,0.5,2,2,1.0,134.71,0.0,0.0,0.0,0.0,134.71,1,0.5,3.6666666666666665,2.8284271247461903,2.5,2.1213203435596424,Air India Limited,2,0.5,YHM-DEL,2,0.5,659.0764833746324,7807.38164142674,0.0,1,321.0,0.0,1,1.0,0.1,32.1,32.1,288.9,2.0,0.0,1.0,0.0,Wyndham,1,1.0,False,False,False,False,True,False,True,False,423.61,32.1,5,2,1,2.85,553.0660070023341,1,1524.6454843561205,False,36.73909090909091
